raw_name,canonical_name
Manchester City FC,Man City
Manchester United FC,Man United
Alavés,Alaves
Rayo Vallecano,Vallecano
Athletic Bilbao,Ath Bilbao
Elche CF,Elche
Espanyol,Espanol
CA Osasuna,Osasuna
1. FC Heidenheim,Heidenheim
1. FC Köln,FC Koln
Bayer Leverkusen,Leverkusen
Hamburger SV,Hamburg
Atalanta BC,Atalanta
RC Lens,Lens
AS Monaco,Monaco
Paris FC,Paris SG
Blackburn Rovers,Blackburn
West Bromwich Albion,West Brom
Charlton Athletic,Charlton
Hull City,Hull
Derby County,Derby
Ipswich Town,Ipswich
Swansea City,Swansea
Birmingham City,Birmingham
Coventry City,Coventry
Sheffield Wednesday,Sheffield Weds
Stoke City,Stoke
Brighton and Hove Albion,Brighton
Celta Vigo,Celta
Oviedo,Oviedo
Real Betis,Betis
FC St. Pauli,St Pauli
FSV Mainz 05,Mainz
Pisa,Pisa
Como,Como
Hellas Verona,Verona
Paris Saint Germain,Paris SG
Paris Saint-Germain,Paris SG
Olympique Lyonnais,Lyon
Olympique Lyon,Lyon
Olympique de Marseille,Marseille
SSC Napoli,Napoli
Wrexham AFC,Wrexham
Portsmouth,Portsmouth
Preston North End,Preston
Queens Park Rangers,QPR
Oxford United,Oxford
